Precio_Real,Precio_Predicho
950000000,950000000
950000000,950000000
950000000,950000000
950000000,939500000
950000000,950000000
950000000,950000000
950000000,950000000
950000000,939500000
800000000,797600000
800000000,800000000
800000000,797600000
800000000,800600000
800000000,797600000
800000000,800000000
800000000,797600000
800000000,800600000
680000000,698600000
680000000,701600000
680000000,689600000
680000000,687800000
289000000,313733000
289000000,319391000
289000000,310904000
289000000,313733000
660000000,660000000
660000000,660000000
660000000,660000000
660000000,660000000
660000000,660000000
660000000,660000000
660000000,660000000
660000000,660000000
6100000,26436000
6100000,32094000
6100000,23607000
6100000,26436000
1400000000,1384790000
1400000000,1384790000
1400000000,1376980000
1400000000,1354780000
740000000,737600000
740000000,739400000
740000000,737600000
740000000,729661000
619000000,641930000
619000000,628210000
619000000,618280000
619000000,616360000
1950000000,1950000000
1950000000,1950000000
1950000000,1950000000
1950000000,1938500000
595000000,595960000
595000000,595960000
595000000,595720000
595000000,595720000
